97,tungle.me,208.94.147.153,0,Tiggee LLC,TIGGE
98,snaptell.com,207.171.166.57,1,"Amazon.com, Inc.",AMAZON-4
99,care.com,204.232.230.80,2,RACKSPACE - Rackspace Hosting,RACKSPACE
100,spiceworks.com,207.200.27.85,0,Onramp Access Inc.,ONR
101,omgpop.com,184.75.170.176,0,Zynga Inc.,ZYNGA
102,daylife.com,107.22.5.59,1,"Amazon.com, Inc.",AMAZO-4
103,billtomobile.com,211.43.145.30,0,Asia Pacific Network Information Centre,APNIC
104,behance.net,72.52.12.246,0,"Prolexic Technologies, Inc.",PROLE
105,magnify.net,208.70.246.59,0,Gossamer Threads Inc.,GOSSA-1
106,google.com,4.53.56.113,0,"Level 3 Communications, Inc.",LVLT
107,agentmatch.com,208.106.182.216,0,CrystalTech Web Hosting Inc.,CRTW
108,demandmedia.com,23.227.10.23,0,Demand Media Inc,DM-137
109,viewdle.com,62.149.15.229,0,"COLOCALL Internet Data Center ""ColoCALL""",COLOCALL
110,tripit.com,12.129.29.80,0,ATT-CERFNET-BLOCK - AT&T Enhanced Network Services,ATT-CERFNET-BLOCK
111,pubmatic.com,209.18.117.91,0,"DATAPIPE - DataPipe, Inc.",DATAPIPE
112,kerpoof.com,199.181.131.111,0,"Disney Worldwide Services, Inc.",DWS
113,mint.com,38.81.36.15,0,"PSINet, Inc.",PSI
114,cakefinancial.com,173.212.56.242,0,Hunt Brothers,HNTB
115,app2you.com,50.112.195.19,1,"Amazon.com, Inc.",AMAZO-47
116,yourstreet.com,50.28.58.21,0,"Liquid Web, Inc.",LQWB
117,vidoop.com,50.63.202.75,0,"GoDaddy.com, LLC",GODAD
118,globalmotion.com,75.101.163.197,1,"Amazon.com, Inc.",AMAZO-4
119,flowplay.com,208.64.136.182,0,NetTuner Corp. dba Webmasters.com,NCDW
120,imsafer.com,78.40.243.51,0,AQL (aq) Networks Limited,AQL
121,healthcare.com,192.237.178.247,2,RACKSPACE - Rackspace Hosting,RACKSPACE
122,viewpoints.com,107.21.105.95,1,"Amazon.com, Inc.",AMAZO-4
123,ratepoint.com,107.21.105.95,1,"AMAZON-AES - Amazon.com, Inc.",AMAZON-AES
124,ramp.com,23.23.242.213,1,"Amazon.com, Inc.",AMAZO-4
125,oneriot.com,166.90.142.100,0,Cosmix Corporation,COSMI
126,snoothmedia.com,75.126.196.214,3,SoftLayer Technologies Inc.,SOFTL
127,cartoondollemporium.com,75.126.76.196,3,SOFTLAYER - SoftLayer Technologies Inc.,SOFTLAYER
128,clickable.com,50.19.94.171,1,"Amazon.com, Inc.",AMAZO-4
129,8020media.com,216.65.101.8,0,Peer 1 Dedicated Hosting,P1DH-1
130,webjam.com,54.229.206.238,1,"Amazon.com, Inc.",AMAZO-4
131,animoto.com,54.243.143.220,1,"Amazon.com, Inc.",AMAZO-4
132,gamerdna.com,208.88.178.16,0,FriendFinder Networks Inc,FRIEN-11
133,data360.org,23.21.221.56,1,"Amazon.com, Inc.",AMAZO-4
134,pakt.com,23.21.221.56,1,"AMAZON-AES - Amazon.com, Inc.",AMAZON-AES
135,realius.com,184.73.201.79,1,"Amazon.com, Inc.",AMAZO-4
136,metaplace.com,208.101.17.152,3,SoftLayer Technologies Inc.,SOFTL
137,xobni.com,75.126.117.71,3,SoftLayer Technologies Inc.,SOFTL
138,broadclip.com,72.13.86.185,0,EGIHOSTING - EGIHosting,EGIHOSTING
139,tripwiser.com,184.22.15.170,0,Network Operations Center Inc.,NOC
140,syntraxis.com,184.22.15.170,0,NOC - Network Operations Center Inc.,NOC
141,brightqube.com,208.91.197.241,0,Confluence Networks Inc,CN
142,buzzdash.com,144.142.224.59,0,Tribune Company,TRIBUN-2
143,bigswerve.com,144.142.224.59,0,11420 - Tribune Company,11420
144,goojet.com,89.30.105.74,0,BSOCOM BSO Network Solutions SAS,BSOCOM
145,visualdna.com,212.118.224.177,0,Internap European Autonomous System,Internap
146,mixandmeet.com,67.207.148.103,2,RACKSPACE - Rackspace Hosting,RACKSPACE
147,empressr.com,208.47.214.151,0,ASN-QWEST-US NOVARTIS-DMZ-US,ASN-QWEST-US
148,diigo.com,72.26.232.203,0,Infortech Corporation,INFORT-4
149,1800pharmacy.com,174.143.127.111,2,RMH-14 - Rackspace Hosting,RMH-14
150,ekko.tv,176.74.176.179,0,PEER1 - Peer 1 Network (USA) Inc.,PEER1
151,kaltura.com,38.74.193.99,0,"PSINet, Inc.",PSI
152,simopsstudios.com,82.98.86.169,0,SEDO-AS Sedo GmbH,SEDO-AS
153,sermo.com,184.72.124.93,1,"Amazon.com, Inc.",AMAZO-4
